id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful
5359608,Communication Studies,,5/1/2027,Masters,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Volunteering,WWOOF-USAÂ®,,,,Maintenance/Skilled Laborer,Volunteer,,,,,,,,,,,This position meets my expectations,Work with a faculty member on a research project,Somewhat,Work with a faculty member on a research project
5359609,Enviro Sci Nat Res Journalism,,5/1/2027,Masters,College of the Arts and Media,Male,White/Caucasian,23-May,12/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5359610,Social Work,,5/1/2027,Masters,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,"State of Montana, Department of Public Health and Human Services","Government - Local, State & Federal",Organization,Full-Time,Administration,State Opioid Response Treatment Program Manager,Yes,,,,,,60320,Hourly Wage,0,0,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5359611,Philosophy,,5/1/2027,Masters,College Humanities & Sciences,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,The Great Burn Conservation Alliance,NGO,Organization,Full-Time,Maintenance/Skilled Laborer,Trail Crew Member,,,,,,,33280,Hourly Wage,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement, Community-based project (service learning or volunteerism), Work with a faculty member on a research project"
5359612,Enviro Sci Nat Res Journalism,,5/1/2027,,College of the Arts and Media,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359613,Philosophy,,5/1/2027,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359614,History,,5/1/2027,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359615,Sociology,,5/1/2027,Masters,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5359616,Public Health,,5/1/2027,Masters,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Benton Franklin Health District,Healthcare,Organization,Full-Time,Healthcare Services,Epidemiologist,Yes,,,,,,63600,Monthly Stipend,0,0,This position exceeds my expectations,"Community-based project (service learning or volunteer), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Community-based project (service learning or volunteerism), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5359617,Teaching and Learning,Curriculum & Instruction,5/1/2027,Masters,College of Education,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5359618,Enviro Sci Nat Res Journalism,,5/1/2027,,College of the Arts and Media,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359619,Integrative Physiology,,5/1/2027,,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359620,Integrative Physiology,,5/1/2027,,College of Health,Male,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5359621,Integrative Physiology,,5/1/2027,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359622,Social Work,,5/1/2027,,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359623,Integrative Physiology,,5/1/2023,Masters,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359624,Public Administration,,5/1/2027,,School of Law,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359625,Linguistics,,5/1/2023,Masters,College Humanities & Sciences,Female,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5359626,Social Work,,5/1/2027,Masters,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359627,Social Work,,5/1/2023,Masters,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Group Counseling Practice ,Healthcare,Organization,Full-Time,Counseling,Psychotherapist,,,,,,,,Hourly Wage,,,No opinion,"Internship, field experience, student teaching or clinical placement",No,"Internship, field experience, student teaching, practicum or clinical placement"
5359628,Business Administration,,5/1/2027,Masters,College of Business,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Schellman,Management Consulting,Organization,Full-Time,Consulting,Emerging Talent Associate (IT Audit),,,,,,,65000,Annual Salary,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Neutral,"Internship, field experience, student teaching, practicum or clinical placement, Community-based project (service learning or volunteerism)"
5359629,Integrative Physiology,,5/1/2027,Masters,College of Health,Female,Latino(a),23-May,6/1/2023,submitted,Working,Achieve Physical Therapy,Healthcare,Temporary/Contract Work Assignment,Full-Time,Other,Certified Athletic Trainer,Yes,,,,,,72800,Hourly Wage,,,No opinion,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5359630,Social Work,,5/1/2027,Masters,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359631,Business Administration~Public Administration,Business Administration,5/1/2027,Bachelors,College of Business,Male,Black or African American,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5359632,Business Administration,,5/1/2027,Masters,College of Business,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5359633,Business Analytics,,5/1/2027,Masters,College of Business,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Target,Retail Stores,Organization,Full-Time,Data & Analytics,Data Analyst,,,,,,,80000,Annual Salary,,5000,This position exceeds my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5359634,Anthropology,,5/1/2027,Masters,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359635,Linguistics,,5/1/2027,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359636,Social Work,,5/1/2027,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359637,Business Administration,,5/1/2027,,College of Business,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359638,Social Work,,5/1/2027,,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359639,History,,5/1/2029,Doctorate,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2028,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Doctorate,His,,,,,,,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteer), Work with a faculty member on a research project",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteerism), Work with a faculty member on a research project"
5359640,Teaching and Learning,Curriculum & Instruction,5/1/2027,Masters,College of Education,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5359641,Public Administration,,5/1/2027,,School of Law,Male,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5359642,Creative Writing,,5/1/2027,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359643,Anthropology,,5/1/2027,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359644,Anthropology,,5/1/2029,Doctorate,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Doctorate,Anthropology,,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project"
5359645,Environmental Studies,,5/1/2027,Masters,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,University of Montana,Higher Education,Temporary/Contract Work Assignment,Part-Time,Marketing - General,Graduate Research Assistant,Yes,,,,,,31200,Hourly Wage,,,This position fails to meet my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteer), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Neutral,"Internship, field experience, student teaching, practicum or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5359646,Sociology,,5/1/2027,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359647,Parks Tourism Recreation Mgmt,,5/1/2027,Masters,College of Forestry & Conserv,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Environment for the Americas,Natural Resources,Temporary/Contract Work Assignment,Full-Time,Environmental / Sustainability Mgmt,Resource Assistant with the USFS- Wilderness and Wild and Scenic Rivers Program,Yes,,,,,,24000,Monthly Stipend,,1000,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project"
5359648,Creative Writing,,5/1/2027,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359649,Social Work,,5/1/2027,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359650,Public Health,,5/1/2027,Masters,College of Health,Female,Native American/Alaskan Native,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359651,Business Administration,,5/1/2027,,College of Business,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359652,Speech Language Pathology,,5/1/2027,Masters,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Bitterroot Valley Education Cooperative (BVEC),K-12 Education,Organization,Full-Time,Healthcare Services,Speech-Language Pathologist,,,,,,,48000,Annual Salary,0,0,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Community-based project (service learning or volunteerism)"
5359653,Speech Language Pathology,,5/1/2027,Masters,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Bitterroot Valley Education Cooperative (BVEC),K-12 Education,Organization,Full-Time,Healthcare Services,Speech Language Pathologist ,,,,,,,48000,Annual Salary,0,1000,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Neutral,"Internship, field experience, student teaching, practicum or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Community-based project (service learning or volunteerism), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)"
5359654,Social Work,,5/1/2027,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359655,Social Work,,5/1/2027,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359656,Music,,5/1/2023,,College of the Arts and Media,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359657,Political Science,,5/1/2027,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359658,Teaching and Learning,,5/1/2027,Masters,College of Education,Male,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5359659,Public Administration,,5/1/2027,Masters,School of Law,Female,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5359660,Sociology,,5/1/2027,Masters,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359661,Law,,5/10/2024,Doctorate,School of Law,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,Montana,Legal & Law Enforcement,Organization,Full-Time,Legal,Public Defender,,,,,,,81000,Annual Salary,0,0,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5359662,Communication Studies,,5/1/2027,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359663,Creative Writing,,5/1/2027,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359664,Speech Language Pathology,,5/1/2027,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359665,Music,,5/1/2027,Masters,College of the Arts and Media,Male,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Northern Colorado,Doctorate,Jazz Studies,,,,,,,This position exceeds my expectations,None of the above,,
5359666,Geosciences,,5/1/2027,,College Humanities & Sciences,Male,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5359667,Social Work,,5/1/2027,,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359668,tDPT Bachelors,,5/1/2029,,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359669,tDPT Bachelors,,5/1/2029,,College of Health,Male,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359670,tDPT Bachelors,,5/1/2029,,College of Health,Male,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359671,tDPT Bachelors~Rehabilitation Administration,tDPT Bachelors,5/1/2029,,College of Health,Male,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5359672,tDPT Masters,,5/1/2029,Doctorate,College of Health,Female,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5359673,tDPT Bachelors,,5/1/2029,,College of Health,Male,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359674,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2029,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359675,tDPT Bachelors,,5/1/2029,,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359676,tDPT Masters,,5/1/2029,Bachelors,College of Health,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,COMMUNITY COLLEGE OF BALTIMORE COUNTY,,,,,,,,,,,,
5359677,tDPT Bachelors,,5/1/2029,,College of Health,Male,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359678,tDPT Bachelors,,5/1/2029,,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359679,tDPT Masters,,5/1/2029,,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359680,Geosciences,,5/1/2027,Masters,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359681,tDPT Bachelors~Rehabilitation Administration,tDPT Bachelors,5/1/2029,Doctorate,College of Health,Female,Asian/Asian American,23-May,4/1/2023,submitted,Working,ProMedica Senior Care,Healthcare,Organization,Full-Time,Healthcare Services,Physical Therapist,Yes,,,,,,101920,Hourly Wage,0,0,This position meets my expectations,None of the above,,
5359682,tDPT Masters,,5/1/2029,Doctorate,College of Health,Female,Asian/Asian American,23-May,5/1/2023,submitted,Working,Changi General Hospital,Healthcare,Organization,Part-Time,Healthcare Services,Principal Physiotherapist,Yes,,,,,,,,,,No opinion,None of the above,,
5359683,tDPT Masters,,5/1/2029,,College of Health,Female,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359684,tDPT Masters,,5/1/2029,,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359685,tDPT Bachelors,,5/1/2029,,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359686,tDPT Bachelors,,5/1/2029,Doctorate,College of Health,Male,Asian/Asian American,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5359687,tDPT Masters,,5/1/2029,Doctorate,College of Health,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,The NYC Department of Education,K-12 Education,Organization,Full-Time,Administration,Orthopedic Physical Therapist,Yes,,,,,,100000,Annual Salary,0,0,This position exceeds my expectations,Work with a faculty member on a research project,Yes,Work with a faculty member on a research project
5359688,tDPT Masters,,5/1/2029,Doctorate,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Carroll University,Higher Education,Faculty Non-Tenure,Full-Time,Education / Teaching / Training,Adjunct Faculty,Yes,,,,,,101920,Hourly Wage,0,0,This position fails to meet my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5359689,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2029,Doctorate,College of Health,Male,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5359690,tDPT Bachelors,,5/1/2029,,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359691,tDPT Bachelors,,5/1/2029,,College of Health,Male,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359692,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2029,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359693,tDPT Bachelors,,5/1/2029,,College of Health,Male,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359694,Environmental Studies,,5/1/2023,Masters,College Humanities & Sciences,Male,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5359695,tDPT Bachelors,,5/1/2029,,College of Health,Male,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359696,tDPT Masters,,5/1/2029,,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359697,tDPT Masters,,5/1/2029,,College of Health,Male,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359698,tDPT Bachelors,,5/1/2029,Doctorate,College of Health,Female,Asian/Asian American,23-May,5/1/2023,submitted,Working,InterFysio LLC,Healthcare,Organization,Full-Time,Healthcare Services,physical therapy,,,,,,,,Annual Salary,,,This position meets my expectations,None of the above,,
5359699,tDPT Masters,,5/1/2029,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359700,tDPT Masters,,5/1/2029,Doctorate,College of Health,Female,Asian/Asian American,23-May,5/1/2023,submitted,Working,University,Higher Education,Faculty Non-Tenure,Full-Time,Education / Teaching / Training,Assistant Professor,Yes,,,,,,3461.83,Monthly Stipend,,,This position fails to meet my expectations,None of the above,,
5359701,tDPT Masters,,5/15/1999,Bachelors,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359702,Theatre,,5/1/2027,,College of the Arts and Media,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359703,tDPT Bachelors,,5/1/2029,,College of Health,Male,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359704,tDPT Masters,,5/1/2029,,College of Health,Male,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359705,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2029,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359706,tDPT Masters,,5/1/2029,Doctorate,College of Health,Female,White/Caucasian,23-May,6/1/2023,submitted,Working,Maine Medical Partners - Scarborough Family and Internal Medicine,Healthcare,Organization,Full-Time,Administration,Clinical Manager,Yes,,,,,,93000,Annual Salary,0,0,This position meets my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5359707,Mathematics,,5/1/2029,Masters,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,University of Montana,Higher Education,Faculty Non-Tenure,Full-Time,Education / Teaching / Training,Instructor,Yes,,,,,,,,,,This position meets my expectations,Work with a faculty member on a research project,Yes,Work with a faculty member on a research project
5359708,Speech Language Pathology,,5/1/2027,,College of Health,Female,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359709,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2029,,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359710,tDPT Bachelors,,5/1/2029,,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359711,tDPT Masters,,5/1/2029,,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359712,tDPT Bachelors,,5/1/2029,,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359713,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2029,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359714,tDPT Bachelors,,5/1/2029,,College of Health,Male,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359715,tDPT Masters~Rehabilitation Administration,tDPT Masters,5/1/2029,,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359716,tDPT Masters,,5/1/2029,,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359717,tDPT Masters,,5/1/2029,Doctorate,College of Health,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359718,tDPT Masters,,5/1/2029,Doctorate,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359719,tDPT Masters,,5/1/2029,Doctorate,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359720,Business Administration,,5/1/2027,Masters,College of Business,Male,White/Caucasian,23-May,5/1/2027,submitted,Working,Civil-Military Innovation Institute (CMI2),Defense,Organization,Full-Time,Product / Project Management,Project Manager,Yes,,,,,,,Annual Salary,,,No opinion,None of the above,,
5359721,Business Administration,,5/1/2027,Masters,College of Business,Male,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,None of the above,,
5359722,Accounting,,5/1/2027,Masters,College of Business,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,NorthWestern Energy,Utilities and Renewable Energy,Organization,Full-Time,Accounting,Regulatory Affairs Analyst ,,,,,,,,,,,This position meets my expectations,None of the above,,
5359723,Business Administration,,5/1/2027,Masters,College of Business,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Wipfli,Accounting,Organization,Full-Time,Accounting,staff accountant,Yes,,,,,,63000,Annual Salary,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5359724,Accounting,,5/1/2023,Masters,College of Business,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Wipfli,Accounting,Organization,Full-Time,Accounting,Staff Accountant,,,,,,,66000,Annual Salary,0,0,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Neutral,"Internship, field experience, student teaching, practicum or clinical placement"
5359725,Accounting,,5/1/2027,Masters,College of Business,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5359726,Business Analytics,,5/1/2027,Masters,College of Business,Male,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5359727,Music,,5/1/2027,Masters,College of the Arts and Media,Male,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5359728,Business Analytics,,5/1/2023,Masters,College of Business,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Study abroad or study away program, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Study abroad or study away program, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5359729,Accounting,,5/1/2027,Masters,College of Business,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,Wipfli,Accounting,Organization,Full-Time,Accounting,Staff Accountant,,,,,,,63000,Annual Salary,6000,1000,This position meets my expectations,Community-based project (service learning or volunteer),Neutral,Community-based project (service learning or volunteerism)
5359730,tDPT Masters,,5/1/2029,Doctorate,College of Health,Female,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5359731,tDPT Masters,,5/1/2029,Doctorate,College of Health,Female,Asian/Asian American,23-May,5/1/2023,submitted,Working,Self-Employed,Healthcare,Entrepreneur,Part-Time,Healthcare Services,Orthopedic Physical Therapist,Yes,,,,,,,,,,This position meets my expectations,None of the above,,
